Gene Name,Chromosome Number,Start,End,Type
Gene1,1,5315,6454,NLR
Gene2,1,3503,6250,TM-LRR
Gene3,1,4650,9514,NLR
Gene4,2,8285,9882,TM-LRR
Gene5,2,5124,8145,TM-LRR
Gene6,3,838,9977,TM-LRR
Gene7,4,8852,9930,NLR
Gene8,4,8278,8414,NLR
Gene9,5,8620,8793,TM-LRR
Gene10,6,3963,9718,NLR
Gene11,7,1814,1992,TM-LRR
Gene12,7,9761,9937,TM-LRR
Gene13,7,2186,6499,NLR
Gene14,7,1404,5848,TM-LRR
Gene15,8,2873,9700,NLR
Gene16,8,3552,7020,TM-LRR
Gene17,9,8735,9635,NLR
Gene18,10,5821,6544,TM-LRR
Gene19,11,3965,9829,TM-LRR
Gene20,12,7648,9547,NLR
Gene21,13,1616,5408,NLR
Gene22,14,7063,7349,TM-LRR
Gene23,13,8414,9381,NLR
Gene24,15,1958,9836,TM-LRR
Gene25,11,4307,7458,TM-LRR
Gene26,15,903,2874,NLR
Gene27,15,3956,8808,NLR
Gene28,15,4354,9161,NLR
Gene29,15,2915,4720,NLR
Gene30,15,9839,9993,TM-LRR
