Gene Name,Chromosome Number,Start,End,Type
Gene1,1,7007,9146,NLR
Gene2,1,54,5684,NLR
Gene3,1,4008,9395,NLR
Gene4,1,4592,6730,NLR
Gene5,1,7342,7528,TM-LRR
Gene6,2,4063,5543,NLR
Gene7,2,525,7300,TM-LRR
Gene8,2,1283,4432,NLR
Gene9,2,2549,6453,TM-LRR
Gene10,6,3963,9718,NLR
Gene11,3,3962,9718,NLR
Gene12,3,8042,9676,TM-LRR
Gene13,7,2186,6499,NLR
Gene14,4,3734,4867,NLR
Gene15,5,3154,6713,NLR
Gene16,5,1069,9921,NLR
Gene17,6,5554,8989,NLR
Gene18,7,9655,9685,TM-LRR
Gene19,7,1314,3883,NLR
Gene20,8,9329,9919,NLR
Gene21,8,9847,9907,NLR
Gene22,9,8649,9852,NLR
Gene23,9,9449,9683,NLR
Gene24,10,8649,9666,NLR
Gene25,11,4307,7458,TM-LRR
Gene26,12,7489,8642,TM-LRR
Gene27,12,8599,9655,NLR
Gene28,13,7929,9326,TM-LRR
Gene29,14,1477,3526,TM-LRR
Gene30,15,9839,9993,TM-LRR
